SOWBMKR12AB0189094,TRBFWWX128F933936C,Losing track,You Should Go Ahead,ARRZXQX1187FB45A0A,0,143.51300000000001
SOYJVCQ12A81C22C90,TRBFWTU128F4220AC5,Credits,Pete Miser,ARC2BFH1187B98F3C8,0,95.760999999999996
SOSKAIS12A81C237B8,TRBFWVA128F42265AD,Bonita,Barbara Lusch,ARLMRES11F4C83E1E1,0,121.379
SOBIPFA12A8C136C56,TRBFWWA128F425BD1E,Indo,Studio,ARHEDEC121318C58DE,0,100.648
SOCMIGC12A6702090E,TRBFWCC128F93017D3,Celluloid Heroes,Bon Jovi / Ray Davies,ARDVZTE1187FB5A0A1,2002,130.28100000000001
SOTOSFD12AB017A7E1,TRBFWSP128F92F29B4,Bed Of Roses,Warrant,AR261YW1187FB374B3,0,123.245
SOCCQJD12A58A7D627,TRBFWGM128F4243B40,Jole Brun,Harry Choates,ARHCHE61187B9AB217,0,152.709
SOIFTHQ12AF72A4829,TRBFWYX128F145F889,Fly Talkin',Lil Wayne,ARUDYKB11F4C83C269,0,123.881
SOLCUUN12AB0187AE7,TRBFWSU12903CC36BE,Wives ( LP Version ),Bill Cosby,ARZO73F1187FB4BF23,1967,109.51600000000001
SOPJOQM12A6310F137,TRBFWXD128E0780DBB,Every You Every Me (Infected By The Scourge Of The Earth),Placebo,AR6892W1187B9AC71B,1999,136.95699999999999
SOZYPNV12A6701E3B8,TRBFWFX128E079531B,First Day (Album version),Timo Maas,ARCYE581187B9A1482,2005,124.995
SOOAIOT12A6D4FE412,TRBFWZM128F4223E44,Youll Rue The Day,Spade Cooley,ARVX3V41187FB59E0F,0,102.846
SOKBKCA12A6D4F7539,TRBFSNP128F14572B5,One Night Alone,Vixen,AR3PDNJ1187B9AF3F0,1988,129.846
SOHEUFA12AB017F9A0,TRBFSEX128F9300418,Teska (Teska),Greek Gypsy Musicians,AREFUMW11F4C844D2B,0,158.41900000000001
SOJLTFB12A6D4F91FC,TRBFSKB128F145C5B1,Forever,VHS Or Beta,AR5WPYF1187B9B40DA,2004,123.84699999999999
SORCBKI12AAF3B2DF2,TRBFSPK128F92F3A22,Why,Kol Simcha,AROY0LJ1187B99654D,0,156.27000000000001
SORDRKC12AB0189339,TRBFSPA128F9340CDC,Infant Dreams,Bill Douglas,ARBXBQR1187FB56FA5,0,108.94799999999999
SOAQKKK12A58A7859A,TRBFSAI128F92F4AC0,East Bay Bounce,Paul Taylor,ARIF3EV1187B9B8522,0,100.05800000000001
SOJIUVL12AB01867D9,TRBFSPZ12903CB5230,All The Way,Joey McIntyre,AROBVNV1187FB3F36C,0,202.69300000000001
SOCQVYX12A8C1389E1,TRBFPVQ128F428B0D2,Carolan's Concerto,The Chieftains,AR0V36F1187FB366B1,1971,175.71100000000001
SODPMJS12A6D4FA2A0,TRBFPMG128F148F505,Shen Lai,Dylan Kuo,ARVNIVQ1250941026F,0,155.726
SOJHUKL12A58A7E7FD,TRBFPEP128F14ADD52,Gloria (In The Name Of Love Album Version),Audio Adrenaline,ARGEZ5E1187FB56F38,0,144.98699999999999
SOHNCST12A8151AF91,TRBFPYV128F421FA78,Gangsta Lean (Gangstapella),D.R.S.,ARVCCEM11F4C83DD74,1993,165.16800000000001
SOLZCFG12A8C13C146,TRBFPJD128F933B5C3,Two of a Kind,Frost,AR91DZT1187FB4C599,0,154.75299999999999
SOTZFQP12AB018038A,TRBFPMP12903CAF2C3,The Preacher,The Bronx Horns,AR80YG31187FB58A13,0,123.768
SOAHARW12AB017BAE8,TRBFPRF128F92FB507,Blues All Around My Bed,Precious Bryant,AR858UO1187FB437B4,2002,179.08099999999999
SOJSIAL12AF72A275E,TRBFPZP128F4260621,Cafe deClouet,Galactic,ARRNO111187B9B3FC9,1998,102.84099999999999
SOUZLSE12AB0184B1D,TRBFPRL128F9316B53,Another Day Another Night,Klubbingman feat. Beatrix Delgado,AROD1VN1187B9B377F,0,142.95599999999999
SOCMLII12A6D4FAB7F,TRBFPCL128F1481F2A,Man Smart Woman Smarter,Robert Palmer,AR4BDNG1187FB44870,0,157.78800000000001
SORLPWM12AB017F78F,TRBFPNE128F92E40CB,Principe Nino,Gonzalo Rubalcaba,ARDE7I31187FB43352,0,142.839
SOJCGJE12A6D4F79F3,TRBFPRL128F14569B9,Paper Thin,Leona Naess,ARSQW3I1187B9ACD14,2000,120.36
SOSBCKC12A8C139223,TRBFLJY128F4289291,Hold On (Album Version),The Rance Allen Group,AR77FBJ1187FB49D8D,0,140.28299999999999
SOLSJLW12A67020AB0,TRBFLOC128E0791630,Love Island (LP Version),Eumir Deodato,ARDIKTV11F43A69FA4,0,148.27699999999999
SOGVVLP12A8C1363F1,TRBFLFI128F427F374,Stop The World,RIDDLIN' KIDS,ARCPY7O1187FB5C0B7,2004,144.721
SOAKHMK12AB0184E39,TRBFLIS128F9306558,Mi Gitana (feat. The Dey),Los Del Rio_ The D.E.Y.,AR0OTEX1187FB3600D,0,103.928
SOQBJNU12A6701DFF5,TRBFLOA128E078FA6A,I Can't Rest,Fontella Bass,ARZH0R61187FB422AE,2006,124.82599999999999
SOACLMC12A8C13FA4C,TRBFLHH128F429FDEA,Baby Please Don't,Tampa Red,AR576O51187B990C30,0,72.177000000000007
SOYDTJN12AF72A86B9,TRBFLER128F148C52B,Pictures To Prove It,The Mighty Mighty Bosstones,AR2SMD91187B9B0582,1994,160.13800000000001
SOKGATR12A6D4F9015,TRBFLQW128F1483D44,Wo Ai Ni_ Zai Jian!,Sammi Cheng,ARG1UAO1187FB55E50,2004,98.484999999999999
SOYLJYK12A8C13D18D,TRBFLSD128F42A0F4C,A Piece Of My Heart,Gang Of Four,ARKZ68G1187B98B189,1983,143.60599999999999
SOMGNHX12A8C131BB0,TRBFLOH128F42630E3,You Are Everything,Regina Belle,AR0AVIB1187FB37D01,1995,135.98500000000001
SOLDYJH12AC3DF56D5,TRBFLZD12903CE8824,Nostalgia for Infinity,Jonn Serrie,ARZ185I1187FB5B8C5,0,144.35400000000001
SOPTYJX12A6701CDC6,TRBFLIP128E07897B4,Things I Don't Understand,Coldplay,ARJ7KF01187B98D717,2005,137.00800000000001
SOHUJJI12A67ADA394,TRBFFIF128F4233A62,Love & Understanding,Lady Saw,ART5IUL1187B9B0143,1996,67.137
SOWPYIK12AB0184395,TRBFFSS128F932F5D4,Ralph's Rhapsody,Ray Lynch,ARNUIBF1187FB4A28F,1998,122.895
SOVATLZ12A8C135595,TRBFFVX128F426D1A4,The last havoc,Necrodaemon,ARWSPAI12420782828,0,210.124
SOMKWFY12A6D4FAB0F,TRBFFQY128F1481E79,We're Not Gonna Bow,Jeff And Sheri Easter,ARKFYS91187B98E58F,0,121.944
SOZUTHQ12A8C13C4C9,TRBFFSG128F42907C1,Mefistofele/Spunta... l'aurora pallida...,Michèle Crider;Vincenzo La Scola;Samuel Ramey;Riccardo Muti,ARCLGCL1241B9CA830,0,85.183999999999997
SOKPLZK12A8C14340D,TRBFFMO128F92CB1EF,Up Jumped The Devil - Live,Clarence Gatemouth Brown,ARBU6D71187B9B5319,0,153.02099999999999
SOGXQSQ12AF729F79A,TRBFFNE128F92F6001,We Are The Ones (Lounge Version),Zombie Girl,ARY02GH1187B99B223,2007,123.004
SOTXKYU12A6D4FCC0B,TRBFFKN128F422F3CC,In Hell (Album Version),A Perfect Murder,AR8PL5L1187FB37A10,2007,239.40700000000001
SOJAGYS12A58A7B904,TRBFFFU128F4264642,He Was Here,Scott Krippayne,AREXX3T1187B989950,0,88.537000000000006
SODCQJH12AB017DDF6,TRBFFSW128F931DF21,Va Por Usted,Rocio Jurado,ARW1DRV1187FB40261,0,99.882000000000005
SOEWNDB12AB017CF92,TRBFFKC128F92F67B0,Cry Of My Heart,Wayne Watson,ARC43071187B990240,0,99.093000000000004
SOGHIGJ12AC468AA66,TRBFFZN12903D08332,Stand By Me,Atomic Rooster,ARG4KW31187FB51B7C,1972,104.79600000000001
SOBWDGC12A6D4F8AFC,TRBFRYS128F1468FA5,Ma Préférence (Live),Julien Clerc,ARW63KF1187B98AC48,1994,97.007000000000005
SOVLMTZ12AB018530D,TRBFRNX128F9306093,True Love,Tyrone Taylor,ARUBX2Y1187B99CD25,0,174.33000000000001
SOFUBAO12A8C139CAB,TRBFRZX128F9341EAE,We Got What You Want,Busta Rhymes,ARBCUNV1187B98A9FB,2001,176.83000000000001
SOSFRGF12A8C13667A,TRBFRPH128F42593D2,You're My First Lady,T.G. Sheppard,ARLWR721187B9A03C9,1992,157.96799999999999
SOPVOHK12A6310D84C,TRBFRFR128E0781C86,Automatic,Less Than Jake,ARG8DXO1187B9AF743,1996,133.05000000000001
SOBJUHE12A8C134796,TRBFRPF128F423F642,Introitus: Requiem: Dies Irae,Kuijken Kwartet,ARMCYCP11F4C83ED97,0,135.75899999999999
SODXQQY12A8C13850E,TRBFRYD128F425E521,Nocturne For Piano No. 5 In B Flat Major_ Op. 37,David Jalbert,ARN2M4711C8A423BD6,0,90.189999999999998
SOZHXPN12A8C1360A0,TRBFRNS128F4274F9A,Snapshot Samurai,Her Majesty's Finest,ARSLDFH12454A38A01,0,139.87799999999999
SOGHVNS12A8C139B59,TRBFRQJ128F4261793,Christmas Won't be the Same Without Johnny,Dr. Elmo,AR45KNL1187B992E53,0,98.507999999999996
SOTRPCV12A6D4FAB31,TRBFRMV128F42214A6,I Don't Wanna be a War Hero,Anti-Flag,ARUSOMY1187FB4D3B4,2003,106.065
SOYTWDP12A8C138214,TRBFRZI128F427E827,Hold On,The Jason Bonham Band,ARKU2GK1187B98C8AB,1992,142.25999999999999
SOLXFEV12A58A7AE81,TRBFRNA128F4263D74,Bestio Tergum Degero Pt. 3,Pelt,ARWTWYV1187B996D8B,0,87.459999999999994
SOTQLJE12CF58274B5,TRBFRNE128F42368B1,Kick_ Push II (Album Version),Lupe Fiasco,ARPFHN61187FB575F6,0,85.015000000000001
SOBXWUS12A58A7DF5C,TRBFVZI128F147FCAF,Please Come Out Tonight,Phil Collins,AR9W3X91187FB3994C,1993,89.921000000000006
SODFAUU12AC95F0330,TRBFVEP12903CF345D,Big World,David Saylor,ARGRTPZ1257509D28A,0,102.98999999999999
SOYOTEG12A8C1388DB,TRBFVEP128F42621E3,World Comes Tumblin' Down,The Distillers,ARN2ZKL1187FB3972B,2000,178.142
SOCWAFA12A8AE48A78,TRBFVAA128F423C356,Wake Up Call (Album Version),The Prodigy,AR4L4WQ1187FB51996,0,115.236
SOWWSFI12A6D4F8B25,TRBFVMO128F14537D3,All Alone (Live),Gorillaz,ARAXU5Z1187B98FECD,2005,148.0
SONDYJW12AB017FD61,TRBFVZZ128F92FD7B5,Llegaste Tú,Huey Dunbar,ARPZBNS1187B98E279,0,98.998000000000005
SOILXAQ12AC4687421,TRBFVOP12903CF0DFA,Jesus Is the Lord,Andrae Crouch,AR8I87E1187FB57E2E,0,85.989000000000004
SOKFBEQ12AC960A01C,TRBFVTI12903CFD630,The Object Of My Affection,Russ Morgan,AR6HEHH1187B9985F9,0,100.34099999999999
SOSFWSU12A8AE46BB9,TRBFVDB128F423EA48,Carita De Rosa,Gertrudis,ARQDYV0119B866800F,2003,208.00200000000001
SOUMIWY12AB0186040,TRBFVAS128F93576F0,Where Are You?,Arthur Tracy,ARMBDNQ1187FB3F3EC,0,81.858000000000004
SOAIWTO12A8C1419E7,TRBFVKF128F92C8724,LOVESICK - Obsession in ¾ Time,Philippe Sarde,ARWNRBH1187B9B7E68,0,167.559
SOAIAWN12AB0187356,TRBFVRE12903CC70CA,Pobre diabla (Directo 09),Carlos Baute,ARZBOES1187FB40178,0,122.645
SOHLLRA12A6D4F7DBA,TRBFVEM128F147508C,Zambele (1997 Digital Remaster),Clara Nunes,AR0QL3J1187FB3748E,0,171.505
SOFCTSL12AB0181111,TRBFMGQ128F931E0A0,Love Is What We Make It,Kenny Rogers,ARO4WQR1187B9B9825,1999,156.50700000000001
SOMRIAD12AB018388E,TRBFMVM128F9361E39,C'est pour vous que je chante,Les Hou-Lops,ARRESZG1187B9A3FBF,0,99.213999999999999
SOEWPSQ12A8C132E05,TRBFMDY128F426E9B4,Turn Yourn Radio On,Andy Griffith,AR4GP451187FB3F2BB,0,160.62299999999999
SOHTZSS12A6D4FCAC2,TRBFMFO128F421BFD4,Serenata,Tranzas,ARSFVDS1187B990F14,0,126.956
SOIYKGB12A8C1384B0,TRBFMKO128F426EB91,Mr. Crump,Mum,ARP7AOI1187FB518B4,0,83.340999999999994
SOCVKXU12A6D4F9A11,TRBFMZP128F1490058,Mi Vida Se Pinto De Gris,Yndio,ARFQAQV1187B9A9AD5,0,107.741
SONRIJJ12A6701FD0A,TRBFMAS128E078F352,Marvel Hill,The Cardigans,AREHK7O1187B9ADDD7,1998,105.919
SOIMLOI12A8C1383C0,TRBFMCF128F42885AC,Live Then Lay,Naughty By Nature featuring Phiness,AR1ZYLH1187B98C159,0,107.93600000000001
SOSVXWK12AB01886ED,TRBFMIU12903CB8536,So Long (Originally Performed by Abba),The Meatmen,AR00A6H1187FB5402A,0,149.78999999999999
SOEAVHU12AC468F2E3,TRBFMMC12903CF6047,Brown Eyed Girl,The Sonics_ Charlie & The Tunas,ARLLRL61187B9B6698,0,130.38200000000001
SOPCQZO12AB018596A,TRBFMGE12903CDECE5,Donnez-nous des jardins,Pierre Perret,ARW45YR1187FB3DE95,1975,108.241
SOMWTKR12AAA15D94E,TRBFMAZ128F92F3A2A,Let's Get High (Yves Larock Radio Edit w Rap),Anane,ARIYFYD1187FB3F0E5,0,84.682000000000002
SOFVVLV12A8C140061,TRBFMBC128F4280A31,Raindrops Keep Falling On My Head,David Arkenstone,ARI4S0E1187B9B06C0,0,91.888000000000005
